Pictures,WITHOUT BG (EDITED),WITHOUT BG (NON EDITED),CATEGORY ,CATEGORY NAME,MEN/WOMEN/UNISEX,BRAND,NAME,PRICE,LINK,,Azure DB Img Id
,,,Shoes ,Boots,Men,Layasa,New Attractive Men's Chelsea Office Boots,₹834,https://www.meesho.com/layasa-new-attractive-mens-chelsea-office-boots-party-wear-boot-winter-boot-comfortable-boot-lightweight-boot-casual-shoes-for-men/p/5muaaz,,
,,,Shoes,shoes,Men,Slayer shoes,Brown loafer party wear shoes,₹473,https://www.meesho.com/Brown%20loafer%20party%20wear%20shoes/p/2XNJ2X,,
,,,Shoes,Sneakers ,Men ,Paragon,Casual Shoes Blue Lace-Up Closed Toe,₹899,https://www.meesho.com/paragon-casual-shoes-blue-lace-up-closed-toe-shoes-for-college-work-daily-use-for-men/p/45aiiw,,
,,,Shoes,Heels,Women ,Dorothy Perkins ,women stilleto bow heels,Rs 6094,https://www.myntra.com/heels/dorothyperkins/dorothy-perkins-women-mid-top-stiletto-heels-with-bow-detail/23745280/buy,,
,,,Shoes,heels ,Women ,TipnToes,Women Casual Beige Block Heels,₹498,https://www.meesho.com/tipntoes-women-casual-beige-block-heels/p/kzok6,,
,,,Shoes,Flats ,Women ,DressBerry ,Women heel pumps ,Rs 2399,https://www.myntra.com/heels/dressberry/dressberry-peach-coloured-and-black-colourblocked-block-heel-pumps/22993938/buy,,
,,,Shoes,Flats,WOMEN ,SKYSTAR,"Women's Memory Foam Slippers with Cozy Warm Lining, Outdoor Indoor Sandals",₹396,https://www.meesho.com/womens-memory-foam-slippers-with-cozy-warm-lining-outdoor-indoor-sandals-shoes-for-women-girls-anti-slip-memory-foam-slip-on-house-slippers/p/3m2zv9,,
,,,Shoes ,Flat shoes ,Women ,Shezone ,Women flat shoes ,Rs 1999,https://www.myntra.com/flats/shezone/shezone-embellished-ethnic-mojaris/23733554/buy,,
,,,Shoes ,Heel shoes ,Women ,Truffle Collection ,Women block heel pumps ,"Rs 6,799",https://www.myntra.com/heels/trufflecollection/truffle-collection-champagne-solid-block-heels/20588342/buy,,
,,,Shoes,Sneakers ,Men,Rare rabbit .,Men primary white textured sneakers ,"Rs 5,999",https://www.myntra.com/casual-shoes/rarerabbit/rare-rabbit-men-rowan-primary-textured-leather-sneakers/25504850/buy,,
,,,Shoes,Loafer ,Men,HERE & NOW,Men black lightweight loafers,Rs 2399,https://www.myntra.com/casual-shoes/here26now/herenow-men-black-lightweight-slip-on-loafers/23400276/buy,,
,,,Shoes,Loafers,Men,ATESBER BY INC 5 ,Men leather formal loafers ,"Rs 18,990",https://www.myntra.com/formal-shoes/atesber%2Bby%2Binc.5/atesber-by-inc5-men-leather-formal-loafers/21543520/buy,,
,,,Shoes,Heels shoes ,Women ,STEVE MADDEN,Secretz Bone Platform Pumps,"₹14,999",https://www.ajio.com/steve-madden-secretz-bone-platform-pumps/p/410395062_510,,
,,,Shoes ,Boots ,Women ,Roadster ,Women white and black solid winter boots ,"Rs 4,999",https://www.myntra.com/boots/roadster/roadster-women-white-and-black-solid-winter-boots/20480194/buy,,
,,,Shoes ,Pumps ,Women ,Oroh,Pink pumps heels ,Rs 7290,https://www.nykaa.com/oroh-rimini-pink-heels/p/15400415?skuId=15400331&se=0,,
